ds,yhat,store_key,product_key
2009-12-31,1458.2877695904594,199,1752
2010-01-01,1348.7932803970195,199,1752
2010-01-02,1324.7293171768017,199,1752
2010-01-03,1341.7927629117564,199,1752
2010-01-04,1370.5443559081373,199,1752
2010-01-05,1306.9272442536587,199,1752
2010-01-06,1489.3258596740015,199,1752
2010-01-07,1403.5154485962707,199,1752
2010-01-08,1300.5691272383178,199,1752
2010-01-09,1283.2972591655614,199,1752
2010-01-10,1307.2260621329729,199,1752
2010-01-11,1342.7512279420873,199,1752
2010-01-12,1285.6601136560093,199,1752
2010-01-13,1474.193943099331,199,1752
2010-01-14,1394.0002872434748,199,1752
2010-01-15,1296.042631663293,199,1752
2010-01-16,1283.0417825266509,199,1752
2010-01-17,1310.4559834045915,199,1752
2010-01-18,1348.635505000343,199,1752
2010-01-19,1293.3452575558044,199,1752
2010-01-20,1482.8268691264182,199,1752
2010-01-21,1402.7505149922108,199,1752
2010-01-22,1304.1233346643114,199,1752
2010-01-23,1289.729226864935,199,1752
2010-01-24,1315.106943071954,199,1752
2010-01-25,1350.7022980351853,199,1752
2010-01-26,1292.3881097930491,199,1752
2010-01-27,1478.5233800000783,199,1752
2010-01-28,1394.9020705797984,199,1752
2010-01-29,1292.6583853854927,199,1752
2010-01-30,1274.7034192624155,199,1752
2010-01-31,1296.700165325124,199,1752
2010-02-01,1329.2127657970234,199,1752
2010-02-02,1268.2236812625042,199,1752
2010-02-03,1452.1903456126968,199,1752
2010-02-04,1366.9917123552757,199,1752
2010-02-05,1263.8316429528518,199,1752
2010-02-06,1245.6740332928832,199,1752
2010-02-07,1268.216694110686,199,1752
2010-02-08,1302.0398868493419,199,1752
2010-02-09,1243.1231969969028,199,1752
2010-02-10,1429.9023106681468,199,1752
2010-02-11,1348.2160901831223,199,1752
2010-02-12,1249.210881501287,199,1752
2010-02-13,1235.7769245401887,199,1752
2010-02-14,1263.5238506264816,199,1752
2010-02-15,1302.9311312733232,199,1752
2010-02-16,1249.8671182640765,199,1752
2010-02-17,1442.6481948748062,199,1752
2010-02-18,1366.9883851556694,199,1752
2010-02-19,1273.9063033661223,199,1752
2010-02-20,1266.164262818836,199,1752
2010-02-21,1299.246476536438,199,1752
2010-02-22,1343.5121628347174,199,1752
2010-02-23,1294.7171463521108,199,1752
2010-02-24,1491.0754272167892,199,1752
2010-02-25,1418.2110211788408,199,1752
2010-02-26,1327.066912330984,199,1752
2010-02-27,1320.345901381079,199,1752
2010-02-28,1353.4902502111006,199,1752
2010-03-01,1396.8359092181743,199,1752
2010-03-02,1346.13489664225,199,1752
2010-03-03,1539.617286896783,199,1752
2010-03-04,1462.9431008054505,199,1752
2010-03-05,1367.1109353676209,199,1752
2010-03-06,1354.898117968146,199,1752
2010-03-07,1381.839293710594,199,1752
2010-03-08,1418.3792461802932,199,1752
2010-03-09,1360.3935404811934,199,1752
2010-03-10,1546.2484707651201,199,1752
2010-03-11,1461.7506357306975,199,1752
2010-03-12,1358.0530153020861,199,1752
2010-03-13,1338.092373646448,199,1752
2010-03-14,1357.5649416116155,199,1752
2010-03-15,1387.0762269560087,199,1752
2010-03-16,1322.65859229086,199,1752
2010-03-17,1502.8281363785286,199,1752
2010-03-18,1413.531257264946,199,1752
2010-03-19,1306.0478262027727,199,1752
2010-03-20,1283.4258531309627,199,1752
2010-03-21,1301.4546513024131,199,1752
2010-03-22,1330.8124018654999,199,1752
2010-03-23,1267.5818076621579,199,1752
2010-03-24,1450.3054171238118,199,1752
2010-03-25,1364.9310368370516,199,1752
2010-03-26,1262.714195755765,199,1752
2010-03-27,1246.6525687881046,199,1752
2010-03-28,1272.4593864756507,199,1752
2010-03-29,1310.7117420625577,199,1752
2010-03-30,1257.3674865237097,199,1752
2010-03-31,1450.8222840501812,199,1752
2010-04-01,1376.8572282536356,199,1752
2010-04-02,1286.5439537095256,199,1752
2010-04-03,1282.682112320503,199,1752
2010-04-04,1320.776193383064,199,1752
2010-04-05,1371.187541863291,199,1752
2010-04-06,1329.6552004288978,199,1752
2010-04-07,1534.3570755682945,199,1752
2010-04-08,1470.8617499455308,199,1752
2010-04-09,1390.0377929864658,199,1752
2010-04-10,1394.4953536473824,199,1752
2010-04-11,1439.56692755341,199,1752
2010-04-12,1495.4630669946575,199,1752
2010-04-13,1457.796575925336,199,1752
2010-04-14,1664.6466114246784,199,1752
2010-04-15,1601.5129413839477,199,1752
2010-04-16,1519.2271463425307,199,1752
2010-04-17,1520.3954954290382,199,1752
2010-04-18,1560.3803462195451,199,1752
2010-04-19,1609.455807635527,199,1752
2010-04-20,1563.3311927542277,199,1752
2010-04-21,1760.2136826437563,199,1752
2010-04-22,1685.7604660390862,199,1752
2010-04-23,1590.987173395831,199,1752
2010-04-24,1578.7073812052463,199,1752
2010-04-25,1604.510097050334,199,1752
2010-04-26,1638.9110389412597,199,1752
2010-04-27,1577.8713226345665,199,1752
2010-04-28,1759.8550756469353,199,1752
2010-04-29,1670.7763491118112,199,1752
2010-04-30,1561.9022588564335,199,1752
2010-05-01,1536.2872484431587,199,1752
2010-05-02,1549.7455028593768,199,1752
2010-05-03,1572.9974431974128,199,1752
2010-05-04,1502.1840286339389,199,1752
2010-05-05,1675.9204900075126,199,1752
2010-05-06,1580.2399620872895,199,1752
2010-05-07,1466.4940296438087,199,1752
2010-05-08,1437.7851493537319,199,1752
2010-05-09,1449.9380290414872,199,1752
2010-05-10,1473.6459293759772,199,1752
2010-05-11,1404.9856297945294,199,1752
2010-05-12,1582.4726783826238,199,1752
2010-05-13,1492.0073678711647,199,1752
2010-05-14,1384.7784078072314,199,1752
2010-05-15,1363.699190423457,199,1752
2010-05-16,1384.3836490073588,199,1752
2010-05-17,1417.297574621224,199,1752
2010-05-18,1358.2790192869945,199,1752
2010-05-19,1545.5992798129614,199,1752
2010-05-20,1464.9147698747986,199,1752
2010-05-21,1367.1766100004822,199,1752
2010-05-22,1355.0726900851996,199,1752
2010-05-23,1384.0090613292593,199,1752
2010-05-24,1424.2663860302894,199,1752
2010-05-25,1371.524943920341,199,1752
2010-05-26,1563.929571067923,199,1752
2010-05-27,1487.0447352214762,199,1752
2010-05-28,1391.7664906616328,199,1752
2010-05-29,1380.7660002048906,199,1752
2010-05-30,1409.4714357693542,199,1752
2010-05-31,1448.2239634367963,199,1752
2010-06-01,1392.801312992944,199,1752
2010-06-02,1581.4803334264568,199,1752
2010-06-03,1499.988787483006,199,1752
2010-06-04,1399.4132004912312,199,1752
2010-06-05,1382.6375445904637,199,1752
2010-06-06,1405.3196826081378,199,1752
2010-06-07,1438.041407052092,199,1752
2010-06-08,1376.8257174463358,199,1752
2010-06-09,1560.192890988604,199,1752
2010-06-10,1474.1057596856074,199,1752
2010-06-11,1369.8711718399368,199,1752
2010-06-12,1350.5725802608372,199,1752
2010-06-13,1372.0408371909243,199,1752
2010-06-14,1404.9991777183623,199,1752
2010-06-15,1345.5761680041524,199,1752
2010-06-16,1532.358289704258,199,1752
2010-06-17,1451.3326704005042,199,1752
2010-06-18,1353.7870121730289,199,1752
2010-06-19,1342.7417104985698,199,1752
2010-06-20,1373.921267343304,199,1752
2010-06-21,1417.9009773238047,199,1752
2010-06-22,1370.6226334353134,199,1752
2010-06-23,1570.450867481562,199,1752
2010-06-24,1503.1205535177976,199,1752
2010-06-25,1419.6422215515472,199,1752
2010-06-26,1422.7403478046726,199,1752
2010-06-27,1467.8314815448332,199,1752
2010-06-28,1525.17802896312,199,1752
2010-06-29,1490.4112715129606,199,1752
2010-06-30,1701.5950582175233,199,1752
2010-07-01,1644.1804224064347,199,1752
2010-07-02,1568.91789448373,199,1752
2010-07-03,1578.3022079523632,199,1752
2010-07-04,1627.556200436371,199,1752
2010-07-05,1686.7895867126704,199,1752
2010-07-06,1651.5260561060365,199,1752
2010-07-07,1859.7700303012025,199,1752
2010-07-08,1796.9632528234517,199,1752
2010-07-09,1713.8979288546693,199,1752
2010-07-10,1713.1610873526745,199,1752
2010-07-11,1750.1169703296227,199,1752
2010-07-12,1795.0631577473887,199,1752
2010-07-13,1743.7539394635473,199,1752
2010-07-14,1934.4623555295375,199,1752
2010-07-15,1852.931185456172,199,1752
2010-07-16,1750.2797358537064,199,1752
2010-07-17,1729.4412473553255,199,1752
2010-07-18,1746.137889048457,199,1752
2010-07-19,1771.0292226985662,199,1752
2010-07-20,1700.227828107376,199,1752
2010-07-21,1872.353692468781,199,1752
2010-07-22,1773.4778230475918,199,1752
2010-07-23,1655.022104051559,199,1752
2010-07-24,1620.190378575348,199,1752
2010-07-25,1624.9378684487538,199,1752
2010-07-26,1640.1149399716755,199,1752
2010-07-27,1561.979010661355,199,1752
2010-07-28,1729.2462793244465,199,1752
2010-07-29,1628.0337920095847,199,1752
2010-07-30,1509.758890644957,199,1752
2010-07-31,1477.57102337838,199,1752
2010-08-01,1487.3230000963592,199,1752
2010-08-02,1509.7176451707057,199,1752
2010-08-03,1440.8235617230878,199,1752
2010-08-04,1619.131586187332,199,1752
2010-08-05,1530.502322350254,199,1752
2010-08-06,1426.0716617165708,199,1752
2010-08-07,1408.6891164050544,199,1752
2010-08-08,1433.8958863272555,199,1752
2010-08-09,1472.0784462995164,199,1752
2010-08-10,1418.9912005076487,199,1752
2010-08-11,1612.8196200180387,199,1752
2010-08-12,1539.1340972930589,199,1752
2010-08-13,1448.8012810171783,199,1752
2010-08-14,1444.4275890875965,199,1752
2010-08-15,1481.3417113909802,199,1752
2010-08-16,1529.7517986479077,199,1752
2010-08-17,1485.2708181129503,199,1752
2010-08-18,1685.981449247604,199,1752
2010-08-19,1617.3907355167194,199,1752
2010-08-20,1530.3412625960746,199,1752
2010-08-21,1527.4535919881703,199,1752
2010-08-22,1564.10681572821,199,1752
2010-08-23,1610.5930035750084,199,1752
2010-08-24,1562.6391172842532,199,1752
2010-08-25,1758.467874718762,199,1752
2010-08-26,1683.7479022101877,199,1752
2010-08-27,1589.5000768133486,199,1752
2010-08-28,1578.5349242098712,199,1752
2010-08-29,1606.428076292911,199,1752
2010-08-30,1643.6696960330637,199,1752
2010-08-31,1586.1815745557603,199,1752
2010-09-01,1772.3735043076708,199,1752
2010-09-02,1688.0893754223096,199,1752
2010-09-03,1584.5099905193981,199,1752
2010-09-04,1564.5875398940632,199,1752
2010-09-05,1584.0187981951162,199,1752
2010-09-06,1613.3929869237522,199,1752
2010-09-07,1548.7080235151473,199,1752
2010-09-08,1728.4267557742173,199,1752
2010-09-09,1638.4236033562913,199,1752
2010-09-10,1529.8885569341478,199,1752
2010-09-11,1505.7634149343842,199,1752
2010-09-12,1521.7172415433406,199,1752
2010-09-13,1548.2969001563922,199,1752
2010-09-14,1481.446283021419,199,1752
2010-09-15,1659.565729088241,199,1752
2010-09-16,1568.4619415737995,199,1752
2010-09-17,1459.255245600899,199,1752
2010-09-18,1434.8189586966262,199,1752
2010-09-19,1450.7577571453053,199,1752
2010-09-20,1477.5608009394327,199,1752
2010-09-21,1411.123158598934,199,1752
2010-09-22,1589.8069585706173,199,1752
2010-09-23,1499.3925293891914,199,1752
2010-09-24,1390.986336937641,199,1752
